
Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 1
Function value nan; maximum gradient component mag -7.7963e+06
  4  0.00092 -1.66939e+01 |  5  0.00218 -2.18170e+01 |  6  0.00290 -2.82233e+01
  7  0.00319 -3.61652e+01 |  8  0.00333 -4.59275e+01 |  9  0.00378 -5.80014e+01
 10  0.00408 -7.26961e+01 | 11  0.00391 -9.03252e+01 | 12  0.00391 -1.11534e+02
 13  0.00382 -1.36912e+02 | 14  0.00377 -1.56612e+02 | 15  0.00379 -1.78494e+02
 16  0.00359 -2.04549e+02 | 17  0.00365 -2.37150e+02 | 18  0.00349 -2.76242e+02
 19  0.00325 -3.17558e+02 | 20 -0.00194 -3.47745e+02 | 21 -0.00434 -3.85478e+02
 22 -0.00459 -4.40852e+02 | 23 -0.00413 -5.04413e+02 | 24 -0.00372 -5.69970e+02
 25 -0.00310 -6.38515e+02 | 26 -0.00274 -7.05651e+02 | 27 -0.00238 -7.75854e+02
 28 -0.00221 -8.46389e+02 | 29 -0.00144 -8.96995e+02 | 30 -0.00115 -8.74808e+02
 31 -0.00122 -7.24135e+02 | 32 -0.00114 -3.27478e+02 | 33  0.00230  3.47281e+02
 34  0.00363  1.06303e+03 | 35  0.00259  1.81506e+03 | 36  0.00338  2.51152e+03
 37  0.00410  3.11527e+03 | 38  0.00397  3.65818e+03 | 39  0.00406  3.94890e+03
 40  0.00324  4.06370e+03 | 41  0.00295  4.10587e+03 | 42  0.00308  4.23303e+03
 43  0.00346  4.30617e+03 | 44  0.00376  4.04021e+03 | 45  0.00451  3.29540e+03
 46  0.00554  2.11487e+03 | 47  0.00490  7.42313e+02 | 48  0.00381 -4.78828e+02
 49  0.00270 -1.20488e+03 | 50  0.00152 -1.30988e+03 | 51  0.00304 -1.39145e+03
 52  0.00667 -1.54182e+03 | 53  0.00525 -1.70069e+03 | 54  0.00396 -1.86418e+03
 55  0.00331 -2.00401e+03 | 56  0.00244 -2.09963e+03 | 57  0.00228 -2.08402e+03
 58  0.00232 -1.91775e+03 | 59  0.00211 -1.64897e+03 | 60  0.00254 -1.34299e+03
 61  0.00275 -9.97967e+02 | 62  0.00235 -6.55959e+02 | 63  0.00244 -5.07344e+02
 64  0.00283 -5.76523e+02 | 65  0.00241 -7.51924e+02 | 66  0.00194 -9.74427e+02
 67  0.00118 -1.06061e+03 | 68  0.00070 -8.59285e+02 | 69 -0.00007 -4.01650e+02
 70 -0.00069 -2.76718e+01 | 71 -0.00146  5.24059e+01 | 72 -0.00233  2.20360e+01
 73 -0.00266  4.72206e+00 | 74 -0.00047  4.37477e+00 | 75 -0.00001  4.46993e+00
 76 -0.00001  4.45307e+00 | 77 -0.38722  5.51656e+02 | 78 -0.99265 -2.47300e-01
 79 -0.03301 -1.94004e+02 | 80 -0.25133 -2.57247e+02 | 81 -0.09359 -1.04223e+03
 82 -0.03301 -1.10764e+02 | 83 -0.19503  1.35210e+02 | 84 -0.16135  3.18687e+01
 85  0.04184 -1.06921e+02 | 86 -0.38722  3.50344e+01 | 87  0.00000  3.28317e-01
 88  0.07752 -1.35186e+01 |

Intermediate statistics: 88 variables; iteration 20; function evaluation 43; phase 3
Function value 8.0961821e+02; maximum gradient component mag 1.8745e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.08024  1.87453e+03 |  2  0.00699  1.77484e-01 |  3  0.00826  2.20882e-01
  4 -0.01001 -3.54028e-01 |  5 -0.00810 -1.74213e-01 |  6 -0.00551  1.24258e-01
  7 -0.00229  4.87449e-01 |  8  0.00171  8.93600e-01 |  9  0.00719  1.41291e+00
 10  0.01515  2.15989e+00 | 11  0.02514  2.90995e+00 | 12  0.03715  3.48437e+00
 13  0.04747  3.14335e+00 | 14  0.03767  8.61854e-01 | 15  0.01028 -3.53638e+00
 16 -0.03427 -1.08997e+01 | 17 -0.07851 -1.95075e+01 | 18 -0.11133 -2.64877e+01
 19 -0.13115 -3.07513e+01 | 20 -0.11894 -2.88647e+01 | 21 -0.10950 -2.68275e+01
 22 -0.10036 -2.52080e+01 | 23 -0.07774 -2.05959e+01 | 24 -0.04374 -1.26887e+01
 25  0.00450 -6.81526e-01 | 26  0.08540  2.38978e+01 | 27  0.13474  7.15253e+01
 28  0.10778  1.07315e+02 | 29  0.06359  1.22867e+02 | 30  0.02953  1.26584e+02
 31  0.00960  1.27722e+02 | 32 -0.00298  9.25507e+01 | 33 -0.01999  5.88670e+01
 34 -0.06880  3.76938e+01 | 35 -0.13506  1.18220e+01 | 36 -0.12479  1.48181e+01
 37 -0.08122  4.06215e+01 | 38 -0.08329  5.92516e+01 | 39 -0.01684  6.84199e+01
 40  0.00257  3.29680e+01 | 41  0.00327 -2.18642e+01 | 42 -0.01958 -1.55943e+01
 43 -0.09031  3.54388e+00 | 44 -0.11734 -8.43720e+00 | 45 -0.10034 -7.61795e+00
 46 -0.08846  1.13731e+01 | 47 -0.00477  2.80720e+01 | 48  0.24500 -2.71780e+02
 49  0.02925  2.35769e+01 | 50 -0.01354  2.34750e+01 | 51 -0.09292 -1.87606e+01
 52 -0.04823 -2.36807e+01 | 53  0.05312 -1.45658e+01 | 54 -0.02806  7.67312e+00
 55 -0.00895  3.70708e+01 | 56  0.17599  2.50099e+02 | 57  0.06555  1.36388e+02
 58 -0.08487  2.00940e+01 | 59 -0.06500  2.32152e+01 | 60  0.09171  1.00889e+02
 61 -0.10618 -9.68705e+00 | 62 -0.17152 -3.35681e+01 | 63 -0.03155 -9.96419e+00
 64 -0.01556  3.85279e+00 | 65 -0.01932  4.01993e+00 | 66  0.10502 -2.50989e+00
 67  0.16731 -3.33286e+01 | 68 -0.07488  5.61382e+00 | 69 -0.19465 -2.21896e+01
 70 -0.22811 -3.91603e+01 | 71 -0.12259 -2.48008e+01 | 72 -0.03080 -7.52265e+00
 73 -0.02004 -8.55939e-01 | 74 -0.01922 -7.54980e-01 | 75 -0.01903 -7.79140e-01
 76 -0.01913 -7.71934e-01 | 77 -0.41417  2.42251e+01 | 78 -0.99075 -2.03392e-01
 79 -0.13093 -1.67236e+01 | 80 -0.25180 -4.92345e+02 | 81  0.01438  4.86862e+02
 82 -0.28196  1.54525e+02 | 83 -0.25614 -5.70732e+00 | 84  0.04838 -7.80027e-01
 85  0.58549  3.05590e-02 | 86 -0.69000  1.24214e-01 | 87 -0.02658  2.90987e+00
 88  0.16279  3.23536e-04 |
88 variables; iteration 40; function evaluation 67; phase 3
Function value 7.5177030e+02; maximum gradient component mag 1.9734e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.07813  1.97344e+03 |  2 -0.00235 -2.24143e+00 |  3 -0.00368 -2.95230e+00
  4 -0.02562 -4.49364e+00 |  5 -0.02757 -5.38670e+00 |  6 -0.02929 -6.26919e+00
  7 -0.03063 -7.11829e+00 |  8 -0.03143 -7.95424e+00 |  9 -0.03178 -8.81954e+00
 10 -0.03150 -9.67506e+00 | 11 -0.02983 -1.04054e+01 | 12 -0.02701 -1.11022e+01
 13 -0.02424 -1.20110e+01 | 14 -0.02750 -1.36293e+01 | 15 -0.03520 -1.56355e+01
 16 -0.04818 -1.80222e+01 | 17 -0.05938 -2.01646e+01 | 18 -0.06580 -2.17510e+01
 19 -0.06803 -2.25461e+01 | 20 -0.05299 -2.10042e+01 | 21 -0.04260 -1.91538e+01
 22 -0.03705 -1.84765e+01 | 23 -0.02853 -1.71798e+01 | 24 -0.01549 -1.42125e+01
 25  0.01124 -8.40323e+00 | 26  0.00635 -2.54495e+00 | 27  0.06361  2.82717e+01
 28  0.17724  1.41299e+02 | 29  0.04958  9.84427e+01 | 30 -0.06260  4.47095e+01
 31 -0.01325  1.03123e+02 | 32 -0.00598  9.39630e+01 | 33 -0.01445  4.84244e+01
 34 -0.04303  4.63036e+01 | 35 -0.09483  3.65729e+01 | 36 -0.09927  3.90736e+01
 37 -0.08565  6.18169e+01 | 38 -0.11085  5.62298e+01 | 39 -0.05563  7.90841e+01
 40  0.05759  7.26773e+01 | 41 -0.07199 -2.21863e+01 | 42 -0.02859 -8.58614e+00
 43 -0.09443 -8.31843e+00 | 44 -0.11633 -9.67844e+00 | 45 -0.09774  8.79843e+00
 46 -0.06927  4.63922e+01 | 47 -0.01195  6.95954e+01 | 48  0.22728 -8.20786e+01
 49  0.06706  2.02339e+02 | 50 -0.01623  1.25940e+02 | 51 -0.02787  8.28025e+01
 52 -0.02063  5.29384e+01 | 53  0.06467  6.60342e+01 | 54 -0.06910 -3.09657e+00
 55 -0.14191 -2.68630e+01 | 56  0.17814  7.90322e+01 | 57  0.01808  2.76770e+01
 58 -0.01132  1.32580e+01 | 59  0.00770 -9.23885e-01 | 60 -0.00093 -2.78545e+01
 61 -0.06613 -2.99433e+01 | 62 -0.08772 -2.84156e+01 | 63 -0.00998 -1.80069e+01
 64 -0.02220 -1.02881e+01 | 65  0.03422 -2.20257e+01 | 66 -0.00422 -4.75436e+01
 67  0.18376 -1.25050e+02 | 68 -0.10712 -6.78052e+00 | 69 -0.13801  5.94132e+00
 70 -0.14307 -5.96844e+00 | 71 -0.07968 -4.62533e+00 | 72 -0.02584 -1.18808e+00
