
Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 1
Function value nan; maximum gradient component mag -1.1374e+07
 22 -0.02252 -2.33172e+02 | 23 -0.01986 -2.79591e+02 | 24 -0.01817 -3.27535e+02
 25 -0.01504 -3.80270e+02 | 26 -0.01320 -4.27607e+02 | 27 -0.01143 -4.71146e+02
 28 -0.01121 -5.09539e+02 | 29 -0.00664 -5.76981e+02 | 30 -0.00603 -6.34951e+02
 31 -0.00676 -6.14944e+02 | 32 -0.00669 -4.33435e+02 | 33  0.01761 -1.43419e+02
 34  0.01427  2.43848e+02 | 35  0.00591  7.28560e+02 | 36  0.01757  1.41363e+03
 37  0.01563  1.55905e+03 | 38  0.01368  2.17772e+03 | 39  0.01308  2.61531e+03
 40  0.00674  2.54957e+03 | 41  0.00558  2.53166e+03 | 42  0.00434  2.71118e+03
 43  0.00620  3.08767e+03 | 44  0.00502  3.23912e+03 | 45  0.01161  3.22566e+03
 46  0.01638  2.64162e+03 | 47  0.01317  1.32905e+03 | 48  0.01513 -7.32808e+01
 49  0.02983 -1.01395e+03 | 50  0.02638 -1.03713e+03 | 51  0.03102 -1.01291e+03
 52  0.05516 -1.26181e+03 | 53  0.02919 -1.15939e+03 | 54  0.03153 -1.33522e+03
 55  0.03093 -1.49409e+03 | 56  0.03119 -1.69544e+03 | 57  0.02910 -1.74577e+03
 58  0.02873 -1.64801e+03 | 59  0.02763 -1.48626e+03 | 60  0.02963 -1.32792e+03
 61  0.03023 -1.03059e+03 | 62  0.02674 -6.15234e+02 | 63  0.02772 -3.46232e+02
 64  0.02964 -2.51248e+02 | 65  0.02778 -3.67319e+02 | 66  0.02950 -8.20949e+02
 67  0.02869 -1.30030e+03 | 68  0.02835 -1.32074e+03 | 69  0.02481 -7.62959e+02
 70  0.02201 -2.04805e+02 | 71  0.01866  5.54100e-01 | 72  0.01507  2.62078e+01
 73  0.01404  7.16135e+00 | 74  0.00007  3.65915e+00 | 75 -0.00002  3.64122e+00
Function minimizer not making progress ... is minimum attained?
Minimprove criterion = 0.0000e+00

 - final statistics:
75 variables; iteration 2; function evaluation 35
Function value nan; maximum gradient component mag 3.2391e+03
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.25486  2.01784e+02 |  2  0.00710 -1.58357e+00 |  3  0.00696  1.44897e+00
  4  0.00740  4.31734e-01 |  5  0.01012 -4.73710e-01 |  6  0.00615 -3.06798e+00
  7  0.01089 -4.66794e+00 |  8  0.01217 -7.65129e+00 |  9  0.01638 -1.13413e+01
 10  0.01750 -1.67452e+01 | 11  0.01714 -2.27378e+01 | 12  0.01669 -3.00198e+01
 13  0.01737 -3.92714e+01 | 14  0.01706 -5.10117e+01 | 15  0.01709 -6.62240e+01
 16  0.01691 -8.51579e+01 | 17  0.01686 -1.08661e+02 | 18  0.01656 -1.36323e+02
 19  0.01519 -1.68537e+02 | 20 -0.01924 -1.65326e+02 | 21 -0.02295 -1.94823e+02
 22 -0.02252 -2.33172e+02 | 23 -0.01986 -2.79591e+02 | 24 -0.01817 -3.27535e+02
 25 -0.01504 -3.80270e+02 | 26 -0.01320 -4.27607e+02 | 27 -0.01143 -4.71146e+02
 28 -0.01121 -5.09539e+02 | 29 -0.00664 -5.76981e+02 | 30 -0.00603 -6.34951e+02
 31 -0.00676 -6.14944e+02 | 32 -0.00669 -4.33435e+02 | 33  0.01761 -1.43419e+02
 34  0.01427  2.43848e+02 | 35  0.00591  7.28560e+02 | 36  0.01757  1.41363e+03
 37  0.01563  1.55905e+03 | 38  0.01368  2.17772e+03 | 39  0.01308  2.61531e+03
 40  0.00674  2.54957e+03 | 41  0.00558  2.53166e+03 | 42  0.00434  2.71118e+03
 43  0.00620  3.08767e+03 | 44  0.00502  3.23912e+03 | 45  0.01161  3.22566e+03
 46  0.01638  2.64162e+03 | 47  0.01317  1.32905e+03 | 48  0.01513 -7.32808e+01
 49  0.02983 -1.01395e+03 | 50  0.02638 -1.03713e+03 | 51  0.03102 -1.01291e+03
 52  0.05516 -1.26181e+03 | 53  0.02919 -1.15939e+03 | 54  0.03153 -1.33522e+03
 55  0.03093 -1.49409e+03 | 56  0.03119 -1.69544e+03 | 57  0.02910 -1.74577e+03
 58  0.02873 -1.64801e+03 | 59  0.02763 -1.48626e+03 | 60  0.02963 -1.32792e+03
 61  0.03023 -1.03059e+03 | 62  0.02674 -6.15234e+02 | 63  0.02772 -3.46232e+02
 64  0.02964 -2.51248e+02 | 65  0.02778 -3.67319e+02 | 66  0.02950 -8.20949e+02
 67  0.02869 -1.30030e+03 | 68  0.02835 -1.32074e+03 | 69  0.02481 -7.62959e+02
 70  0.02201 -2.04805e+02 | 71  0.01866  5.54100e-01 | 72  0.01507  2.62078e+01
 73  0.01404  7.16135e+00 | 74  0.00007  3.65915e+00 | 75 -0.00002  3.64122e+00

Initial statistics: 88 variables; iteration 0; function evaluation 0; phase 3
Function value 2.8987185e+03; maximum gradient component mag 3.2391e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.25486  2.01784e+02 |  2  0.00000 -2.51879e+00 |  3  0.00710 -1.58357e+00
  4  0.00696  1.44898e+00 |  5  0.00740  4.31735e-01 |  6  0.01012 -4.73710e-01
  7  0.00615 -3.06798e+00 |  8  0.01089 -4.66794e+00 |  9  0.01217 -7.65128e+00
 10  0.01638 -1.13413e+01 | 11  0.01750 -1.67452e+01 | 12  0.01714 -2.27378e+01
 13  0.01669 -3.00198e+01 | 14  0.01737 -3.92714e+01 | 15  0.01706 -5.10117e+01
 16  0.01709 -6.62240e+01 | 17  0.01691 -8.51579e+01 | 18  0.01686 -1.08661e+02
 19  0.01656 -1.36323e+02 | 20  0.01519 -1.68537e+02 | 21 -0.01924 -1.65326e+02
 22 -0.02295 -1.94823e+02 | 23 -0.02252 -2.33172e+02 | 24 -0.01986 -2.79591e+02
 25 -0.01817 -3.27535e+02 | 26 -0.01504 -3.80270e+02 | 27 -0.01320 -4.27607e+02
 28 -0.01143 -4.71146e+02 | 29 -0.01121 -5.09539e+02 | 30 -0.00664 -5.76982e+02
 31 -0.00603 -6.34952e+02 | 32 -0.00676 -6.14945e+02 | 33 -0.00669 -4.33435e+02
 34  0.01761 -1.43419e+02 | 35  0.01427  2.43848e+02 | 36  0.00591  7.28561e+02
 37  0.01757  1.41364e+03 | 38  0.01563  1.55905e+03 | 39  0.01368  2.17772e+03
 40  0.01308  2.61531e+03 | 41  0.00674  2.54957e+03 | 42  0.00558  2.53166e+03
 43  0.00434  2.71118e+03 | 44  0.00620  3.08767e+03 | 45  0.00502  3.23912e+03
 46  0.01161  3.22566e+03 | 47  0.01638  2.64162e+03 | 48  0.01317  1.32905e+03
