###
console output
2025-12-30 04:24:38.328221
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 4 at Tue Dec 30 04:20:37 2025
phase= 3 | nvar= 83 | iter=2480 | nll=3.98e+01 | mag=2.61e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2500 | nll=3.98e+01 | mag=2.33e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2520 | nll=3.98e+01 | mag=9.15e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2540 | nll=3.98e+01 | mag=9.52e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2560 | nll=3.98e+01 | mag=1.85e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2580 | nll=3.98e+01 | mag=1.57e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2600 | nll=3.98e+01 | mag=5.10e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2620 | nll=3.98e+01 | mag=8.59e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2640 | nll=3.98e+01 | mag=2.79e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2660 | nll=3.97e+01 | mag=1.27e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2680 | nll=3.97e+01 | mag=8.83e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2700 | nll=3.97e+01 | mag=3.89e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2720 | nll=3.96e+01 | mag=7.30e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2740 | nll=3.96e+01 | mag=1.06e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2760 | nll=3.96e+01 | mag=4.13e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2780 | nll=3.96e+01 | mag=9.44e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2800 | nll=3.95e+01 | mag=2.87e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2820 | nll=3.90e+01 | mag=9.89e+01 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2840 | nll=3.90e+01 | mag=2.29e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2860 | nll=3.89e+01 | mag=1.60e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2880 | nll=3.89e+01 | mag=1.69e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2900 | nll=3.89e+01 | mag=5.31e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2920 | nll=3.89e+01 | mag=6.49e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2940 | nll=3.89e+01 | mag=9.68e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2960 | nll=3.89e+01 | mag=1.31e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=2980 | nll=3.89e+01 | mag=8.84e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3000 | nll=3.89e+01 | mag=2.79e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3020 | nll=3.88e+01 | mag=3.10e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3040 | nll=3.87e+01 | mag=3.72e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3060 | nll=3.87e+01 | mag=2.34e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3080 | nll=3.87e+01 | mag=2.05e+03 | par[  1]=SR_parm[1]
